Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Ticker,Sector
2016-01-31 00:00:00+00:00,84.75642465282888,90.7868194580078,80.9505700947903,90.7868194580078,58129427,0.0,0.0,3M Company,MMM,Industrials
2016-02-29 00:00:00+00:00,89.78274599818374,96.59017031912693,87.81068826764731,94.99752044677734,63135046,0.928094,0.0,3M Company,MMM,Industrials
2016-03-31 00:00:00+00:00,96.13602201746528,101.4348889093838,95.44565305506327,100.90802764892578,58110890,0.0,0.0,3M Company,MMM,Industrials
2016-04-30 00:00:00+00:00,100.30239950184377,103.41511868307092,99.7089261486919,101.36216735839844,46431352,0.0,0.0,3M Company,MMM,Industrials
2016-05-31 00:00:00+00:00,101.31371678627023,104.10370442957228,99.47064188380529,102.6101531982422,43585827,0.928094,0.0,3M Company,MMM,Industrials
2016-06-30 00:00:00+00:00,102.28097175262585,106.76772447598395,100.68377041544596,106.75553131103516,56157224,0.0,0.0,3M Company,MMM,Industrials
2016-07-31 00:00:00+00:00,106.76770988796176,111.11426832190062,105.7740538479069,108.73067474365234,46147900,0.0,0.0,3M Company,MMM,Industrials
2016-08-31 00:00:00+00:00,107.95035752971977,111.18092846623354,107.95035752971977,109.94798278808594,36930925,0.928094,0.0,3M Company,MMM,Industrials
2016-09-30 00:00:00+00:00,109.99091507188074,111.43242991370376,106.97292853224978,108.10163116455078,45619389,0.0,0.0,3M Company,MMM,Industrials
2016-10-31 00:00:00+00:00,107.54950383296696,107.92982467415584,101.28049439467893,101.3969955444336,50093383,0.0,0.0,3M Company,MMM,Industrials
2016-11-30 00:00:00+00:00,101.45836459291743,107.65994721386902,100.50757331676516,106.02278137207033,52438261,0.928094,0.0,3M Company,MMM,Industrials
2016-12-31 00:00:00+00:00,105.9610640327444,111.15912143232454,105.62155144770954,110.23925018310548,46613741,0.0,0.0,3M Company,MMM,Industrials
2017-01-31 00:00:00+00:00,110.39978917572728,111.12209057195165,107.30070593785808,107.92422485351562,45427550,0.0,0.0,3M Company,MMM,Industrials
2017-02-28 00:00:00+00:00,108.14031219482422,117.07147704814663,107.14020707665703,115.79142761230467,46540306,0.982441,0.0,3M Company,MMM,Industrials
2017-03-31 00:00:00+00:00,116.86641050907112,120.23417900116134,116.82291174240622,118.88582611083984,53533319,0.0,0.0,3M Company,MMM,Industrials
2017-04-30 00:00:00+00:00,119.22139424310778,122.4835165942979,117.20193872786908,121.68195343017578,41853181,0.0,0.0,3M Company,MMM,Industrials
2017-05-31 00:00:00+00:00,121.47688081032388,127.80934143066406,120.83687319752954,127.80934143066406,47864758,0.982441,0.0,3M Company,MMM,Industrials
