Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Ticker,Sector
2016-07-07 00:00:00+01:00,528.7326482233011,533.2176565494177,524.2476398971845,528.2343139648438,5786727,0.0,0.0,BAE Systems,BA.L,Defence
2016-07-07 00:00:00+01:00,47.79925819873989,50.68713156774459,47.10218492359285,49.492149353027344,323227768,0.0,0.0,Lloyds Banking,LLOY.L,Banking
2016-07-07 00:00:00+01:00,161.09280316073938,173.50965790705732,161.09280316073938,169.98875427246094,29581316,0.0,0.0,NatWest Group,NWG.L,Banking
2016-07-07 00:00:00+01:00,242.1418851097844,251.40223213946987,240.59844818727575,249.85888671875,18534290,0.0,0.0,Rolls-Royce,RR.L,Defence
2016-07-07 00:00:00+01:00,4563.96885204637,4603.8549682975945,4540.037182295635,4580.421875,2301570,0.0,0.0,AstraZeneca,AZN.L,Pharma
2016-07-07 00:00:00+01:00,1663.2058222460416,1677.7339494314388,1654.6894469354297,1661.2020263671875,7810895,0.0,0.0,GSK,GSK.L,Pharma
2016-07-07 00:00:00+01:00,463.9968975397206,466.33451433173195,460.71423440788124,462.0074157714844,25833412,0.0,0.0,HSBC,HSBA.L,Banking
2016-07-07 00:00:00+01:00,567.1876768595986,578.8606808049548,564.394152547322,569.981201171875,8291724,0.0,0.0,Standard Chartered,STAN.L,Banking
2016-07-07 00:00:00+01:00,132.54448431794893,137.2319239182415,132.34502236469578,134.38954162597656,46922884,0.0,0.0,Barclays,BARC.L,Banking
2016-07-08 00:00:00+01:00,526.2410592296511,537.7027489666606,525.7427248932594,535.7094116210938,5367467,0.0,0.0,BAE Systems,BA.L,Defence
2016-07-08 00:00:00+01:00,248.48692977739373,252.4311292374163,248.14392010626062,252.08822631835938,15635068,0.0,0.0,Rolls-Royce,RR.L,Defence
2016-07-08 00:00:00+01:00,460.3660179025933,470.76107113007214,460.1173327091807,468.3239440917969,22167233,0.0,0.0,HSBC,HSBA.L,Banking
2016-07-08 00:00:00+01:00,168.595392454688,181.36068095935255,166.13025748588302,180.92127990722656,26927881,0.0,0.0,NatWest Group,NWG.L,Banking
2016-07-08 00:00:00+01:00,1661.2027003296191,1665.681375339766,1613.3204097255816,1655.6920166015625,8719589,0.0,0.0,GSK,GSK.L,Pharma
