Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock
2021-01-04 00:00:00+00:00,146.76994108985411,148.8064645950129,142.17775903839149,143.27589416503906,45934459,0.0,0.0,Barclays
2021-01-05 00:00:00+00:00,140.42074801415072,144.29413796941688,138.6787058137559,142.9564208984375,36696545,0.0,0.0,Barclays
2021-01-06 00:00:00+00:00,145.7516446945934,155.7945295561594,145.17262948362014,154.77626037597656,88207450,0.0,0.0,Barclays
2021-01-07 00:00:00+00:00,156.8128355763326,157.73126898552312,150.7481711603236,155.85446166992188,60453467,0.0,0.0,Barclays
2021-01-08 00:00:00+00:00,157.07239275333447,157.93093067618503,152.31549766613142,152.659912109375,35279721,0.0,0.0,Barclays
2021-01-11 00:00:00+00:00,152.14076584619482,154.21722965335937,149.7847795296845,150.94281005859375,97258483,0.0,0.0,Barclays
2021-01-12 00:00:00+00:00,150.68327100350632,154.59660171021363,150.68327100350632,153.9776611328125,27671875,0.0,0.0,Barclays
2021-01-13 00:00:00+00:00,154.73638529143275,154.73638529143275,151.5618009565707,152.1008758544922,45710699,0.0,0.0,Barclays
2021-01-14 00:00:00+00:00,152.6798718621084,154.5367088590917,152.1008565369377,152.60000610351562,29064530,0.0,0.0,Barclays
2021-01-15 00:00:00+00:00,151.62168407344592,153.8778347325639,146.55032241978387,148.5469207763672,44861784,0.0,0.0,Barclays
2021-01-18 00:00:00+00:00,148.1675606038176,151.20239860323,147.62848575584687,151.06263732910156,18232370,0.0,0.0,Barclays
2021-01-19 00:00:00+00:00,152.91947287534558,153.0193088941806,145.39230318002168,146.6102294921875,39908739,0.0,0.0,Barclays
2021-01-20 00:00:00+00:00,145.75168866565693,152.73978332770898,143.79003431997617,146.07115173339844,34274687,0.0,0.0,Barclays
2021-01-21 00:00:00+00:00,146.0511904026801,147.04948970108143,143.71517370030224,144.55374145507812,20750000,0.0,0.0,Barclays
2021-01-22 00:00:00+00:00,143.35578632219855,144.094518059042,141.71857607095734,142.8166961669922,52565137,0.0,0.0,Barclays
2021-01-25 00:00:00+00:00,143.75506704875957,145.41224717200762,136.34768972738175,136.8867645263672,41080426,0.0,0.0,Barclays
2021-01-26 00:00:00+00:00,136.5673259520402,140.50062701683464,136.52738545589017,139.2028350830078,43534642,0.0,0.0,Barclays
2021-01-27 00:00:00+00:00,137.20622567814203,138.90333103894926,132.7737754004523,134.09153747558594,71178352,0.0,0.0,Barclays
2021-01-28 00:00:00+00:00,132.574147231062,136.90676244386086,129.9585927630681,136.34771728515625,51994502,0.0,0.0,Barclays
2021-01-29 00:00:00+00:00,134.85025548332553,135.60895737867293,132.43437328812385,133.3128662109375,35497911,0.0,0.0,Barclays
2021-02-01 00:00:00+00:00,134.9700603491535,137.00659942190438,132.85367073846257,134.6106719970703,29645822,0.0,0.0,Barclays
2021-02-02 00:00:00+00:00,136.0681835713966,140.5006344424747,135.44922771104703,139.9415740966797,34967416,0.0,0.0,Barclays
2021-02-03 00:00:00+00:00,141.8982712779823,145.15272172741314,139.12300025905014,141.55885314941406,44305349,0.0,0.0,Barclays
2021-02-04 00:00:00+00:00,142.1178474181037,147.28902896887175,139.86169714336913,145.5320281982422,55719232,0.0,0.0,Barclays
2021-02-05 00:00:00+00:00,148.6667100284558,148.84641179947803,145.1526926976256,146.9696044921875,61896323,0.0,0.0,Barclays
