Ticker,Stock_x,Sector_x,Score,Risk_Score,Volatility_Annual,Final_Allocation,Position_Size,Shares,Actual_Amount
COP,ConocoPhillips,Energy,0.157,39.276290583580064,0.37581949840310297,0.18421317826720604,18421.317826720606,156,18347.160095214844
MS,Morgan Stanley,Financials,0.0844,31.19941017869468,0.3137410740349954,0.18421317826720604,18421.317826720606,85,18388.05015563965
CAT,Caterpillar,Industrials,0.0691,34.49289646005087,0.313662094244718,0.17592315987208745,17592.315987208745,20,16843.800048828125
BLK,BlackRock,Financials,0.0667,26.702201198130517,0.2779063731009868,0.17456430194924943,17456.430194924942,15,17045.850219726562
QCOM,Qualcomm,Semiconductors,0.0629,36.145773979874974,0.39714588707871806,0.1505696798725563,15056.967987255628,89,14939.540054321289
STAN.L,Standard Chartered,Banking,0.0516,35.11472110758033,0.322247988296689,0.1305165017716946,13051.65017716946,5,11095.0
