feature,importance,importance_pct,ticker,horizon
MACD_cross,0.0,0.0,NWG.L,1d
BB_upper,0.0,0.0,NWG.L,1d
BB_middle,0.0,0.0,NWG.L,1d
volatility_20,0.0,0.0,NWG.L,1d
MACD,0.0,0.0,NWG.L,1d
MACD_signal,0.0,0.0,NWG.L,1d
RSI_overbought,0.0,0.0,NWG.L,1d
RSI_14,0.0,0.0,NWG.L,1d
STOCH_K,0.0,0.0,NWG.L,1d
ATR_pct,0.0,0.0,NWG.L,1d
ADX,0.0,0.0,NWG.L,1d
STOCH_D,0.0,0.0,NWG.L,1d
ADX_strong_trend,0.0,0.0,NWG.L,1d
volume_ma_20,0.0,0.0,NWG.L,1d
volume_ratio,0.0,0.0,NWG.L,1d
volume_trend,0.0,0.0,NWG.L,1d
volume_acceleration,0.0,0.0,NWG.L,1d
volume_spike,0.0,0.0,NWG.L,1d
volume_std_20,0.0,0.0,NWG.L,1d
BB_width,0.0,0.0,NWG.L,1d
BB_position,0.0,0.0,NWG.L,1d
ATR,0.0,0.0,NWG.L,1d
MACD_hist,0.0,0.0,NWG.L,1d
RSI_oversold,0.0,0.0,NWG.L,1d
MFI,0.0,0.0,NWG.L,1d
OBV_slope,0.0,0.0,NWG.L,1d
OBV_ema,0.0,0.0,NWG.L,1d
OBV,0.0,0.0,NWG.L,1d
volume_zscore,0.0,0.0,NWG.L,1d
price_vs_vwap,0.0,0.0,NWG.L,1d
VWAP_approx,0.0,0.0,NWG.L,1d
AD,0.0,0.0,NWG.L,1d
momentum_5,0.0,0.0,NWG.L,1d
momentum_1,0.0,0.0,NWG.L,1d
volume_price_trend,0.0,0.0,NWG.L,1d
momentum_10,0.0,0.0,NWG.L,1d
hl_spread,0.0,0.0,NWG.L,1d
momentum_20,0.0,0.0,NWG.L,1d
position_in_range_10,0.0,0.0,NWG.L,1d
position_in_range_5,0.0,0.0,NWG.L,1d
volume_momentum,0.0,0.0,NWG.L,1d
mfi_rsi_divergence,0.0,0.0,NWG.L,1d
volume_volatility,0.0,0.0,NWG.L,1d
obv_price_divergence,0.0,0.0,NWG.L,1d
day_sin,0.0,0.0,NWG.L,1d
day_cos,0.0,0.0,NWG.L,1d
month_sin,0.0,0.0,NWG.L,1d
month_cos,0.0,0.0,NWG.L,1d
sentiment_compound,0.0,0.0,NWG.L,1d
sentiment_positive,0.0,0.0,NWG.L,1d
sentiment_negative,0.0,0.0,NWG.L,1d
news_volume,0.0,0.0,NWG.L,1d
sentiment_change_1d,0.0,0.0,NWG.L,1d
sentiment_trend,0.0,0.0,NWG.L,1d
sentiment_rsi,0.0,0.0,NWG.L,1d
sentiment_momentum,0.0,0.0,NWG.L,1d
OBV,19.854939937591553,10.333332188435996,AMZN,1d
ATR_pct,18.252280235290527,9.499241773609723,AMZN,1d
rsi_volume,17.250770092010498,8.978014460249438,AMZN,1d
month_sin,14.035760402679443,7.304790405514369,AMZN,1d
volume_volatility,13.58879041671753,7.072168732634846,AMZN,1d
volume_ratio,13.31100033223629,6.927595279850754,AMZN,1d
EMA_10,12.83299970626831,6.67882397810253,AMZN,1d
volume_ma_5,12.170249938964844,6.3339015797028635,AMZN,1d
MACD_hist,11.31716012954712,5.889918348577955,AMZN,1d
OBV_ema,9.749919891357422,5.074261688260595,AMZN,1d
EMA_5,9.000140190124512,4.684045311613838,AMZN,1d
price_to_sma_20,7.318240165710449,3.8087149548040404,AMZN,1d
trend_momentum,6.360519886016846,3.310277698142347,AMZN,1d
RSI_14,6.304540157318115,3.2811435313163217,AMZN,1d
MFI,6.017809867858887,3.1319172259846715,AMZN,1d
STOCH_D,5.33843994140625,2.778345009149248,AMZN,1d
momentum_10,4.0586700439453125,2.1122998074618398,AMZN,1d
volatility_10,2.9106900691986084,1.5148435340096724,AMZN,1d
price_vs_vwap,2.471679925918579,1.286364492578953,AMZN,1d
sma_cross_10_50,0.0,0.0,AMZN,1d
volatility_5,0.0,0.0,AMZN,1d
price_to_sma_50,0.0,0.0,AMZN,1d
SMA_50,0.0,0.0,AMZN,1d
EMA_50,0.0,0.0,AMZN,1d
sma_cross_5_20,0.0,0.0,AMZN,1d
EMA_20,0.0,0.0,AMZN,1d
SMA_5,0.0,0.0,AMZN,1d
price_to_sma_5,0.0,0.0,AMZN,1d
price_to_sma_10,0.0,0.0,AMZN,1d
SMA_10,0.0,0.0,AMZN,1d
returns,0.0,0.0,AMZN,1d
log_returns,0.0,0.0,AMZN,1d
SMA_20,0.0,0.0,AMZN,1d
BB_upper,0.0,0.0,AMZN,1d
STOCH_K,0.0,0.0,AMZN,1d
ATR,0.0,0.0,AMZN,1d
BB_position,0.0,0.0,AMZN,1d
BB_width,0.0,0.0,AMZN,1d
BB_middle,0.0,0.0,AMZN,1d
BB_lower,0.0,0.0,AMZN,1d
ADX_strong_trend,0.0,0.0,AMZN,1d
ADX,0.0,0.0,AMZN,1d
volume_trend,0.0,0.0,AMZN,1d
volume_ma_20,0.0,0.0,AMZN,1d
