Stock,Ticker,Sector,Latest_Price,Latest_Date,Score,Recommendation,Strength,Signal,Consensus,d1_Direction,d1_Prob_Up,d1_Confidence,d1_Accuracy,d5_Direction,d5_Prob_Up,d5_Confidence,d5_Accuracy,d21_Direction,d21_Prob_Up,d21_Confidence,d21_Accuracy,Avg_Confidence
SoFi Technologies,SOFI,Meme/Speculative,27.46,2026-01-02,-0.0552,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.481,0.038,0.4664,DOWN ↓,0.487,0.0261,0.4496,DOWN ↓,0.4272,0.1455,0.3529,0.0699
GameStop,GME,Meme/Speculative,20.62,2026-01-02,-0.0629,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4834,0.0332,0.5194,DOWN ↓,0.4402,0.1196,0.5317,DOWN ↓,0.4401,0.1198,0.5276,0.0909
AMC Entertainment,AMC,Meme/Speculative,1.61,2026-01-02,-0.0723,SELL,Moderate,🟠,1/3 UP,DOWN ↓,0.4727,0.0547,0.5501,UP ↑,0.5361,0.0721,0.5849,DOWN ↓,0.3906,0.2188,0.638,0.1152
Riot Platforms,RIOT,Meme/Speculative,14.16,2026-01-02,-0.0779,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4342,0.1316,0.543,DOWN ↓,0.4698,0.0604,0.4864,DOWN ↓,0.4221,0.1558,0.4822,0.1159
GSK,GSK.L,Pharma,1823.0,2026-01-05,-0.0781,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4932,0.0137,0.502,DOWN ↓,0.3509,0.2982,0.5671,DOWN ↓,0.4899,0.0202,0.6301,0.1107
Virgin Galactic,SPCE,Meme/Speculative,3.29,2026-01-02,-0.0828,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4262,0.1477,0.5721,DOWN ↓,0.462,0.076,0.5597,DOWN ↓,0.4228,0.1544,0.6443,0.126
Marathon Digital,MARA,Meme/Speculative,9.91,2026-01-02,-0.1026,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4951,0.0099,0.5256,DOWN ↓,0.3614,0.2772,0.5665,DOWN ↓,0.4403,0.1194,0.5481,0.1355
Rivian Automotive,RIVN,Meme/Speculative,19.41,2026-01-02,-0.1126,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.49,0.02,0.5515,DOWN ↓,0.4335,0.1329,0.5619,DOWN ↓,0.3837,0.2327,0.3918,0.1285
Plug Power,PLUG,Meme/Speculative,2.23,2026-01-02,-0.1222,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4441,0.1118,0.5849,DOWN ↓,0.4739,0.0521,0.589,DOWN ↓,0.369,0.2621,0.591,0.142
Tilray Brands,TLRY,Meme/Speculative,9.72,2026-01-02,-0.124,SELL,Moderate,🟠,0/3 UP,DOWN ↓,0.4253,0.1495,0.6011,DOWN ↓,0.4374,0.1253,0.6288,DOWN ↓,0.388,0.2239,0.6676,0.1662
NIO Inc,NIO,Meme/Speculative,5.14,2026-01-02,-0.1699,SELL,Strong,🔴,0/3 UP,DOWN ↓,0.4442,0.1116,0.5028,DOWN ↓,0.4411,0.1178,0.5537,DOWN ↓,0.3372,0.3257,0.6328,0.185
