Ticker,Stock,Sector,Current_Price,Stop_Loss,Stop_Loss_Pct,ATR_Pct
RR.L,Rolls-Royce,Defence,1268.0,1125.3010079520088,-11.253863726182269,5.626931863091131
AZN.L,AstraZeneca,Pharma,13964.0,13120.8271484375,-6.038189999731452,3.019094999865726
BARC.L,Barclays,Banking,456.3999938964844,431.15812029157365,-5.530647226659649,2.7653236133298256
STAN.L,Standard Chartered,Banking,1983.0,1895.9028494698662,-4.392191151292679,2.196095575646342
LLOY.L,Lloyds Banking,Banking,101.8000030517578,94.55500357491628,-7.11689514700502,3.5584475735025127
GSK.L,GSK,Pharma,1928.0,1828.530915394362,-5.159184886184546,2.579592443092273
NWG.L,NatWest Group,Banking,597.5999755859375,567.7713884626116,-4.991396978234378,2.495698489117191
BA.L,BAE Systems,Defence,1984.5,1746.2550048828125,-12.005290759243513,6.0026453796217565
HSBA.L,HSBC,Banking,1392.800048828125,1335.7896373208691,-4.09322296874008,2.046611484370038
JNJ,Johnson & Johnson,Pharma,230.17999267578125,222.23512284256432,-3.451590097323371,1.7257950486616873
PLUG,Plug Power,Meme/Speculative,3.839999914169312,3.111428397042411,-18.973217015930825,9.48660850796541
PEP,PepsiCo,Consumer Staples,145.67999267578125,139.3014199393136,-4.378482329185386,2.1892411645926884
KO,Coca-Cola,Consumer Staples,80.45999908447266,78.2257101876395,-2.776894012250029,1.3884470061250132
PFE,Pfizer,Pharma,25.850000381469727,24.965246791832676,-3.422644396830553,1.7113221984152747
UPS,United Parcel Service,Industrials,101.97000122070312,97.6801183910597,-4.20700478404275,2.1035023920213765
RTX,Raytheon Technologies,Defence,178.97000122070312,171.39258685736945,-4.233901945382075,2.11695097269104
LMT,Lockheed Martin,Defence,532.9000244140625,511.78717041015625,-3.961878971035962,1.9809394855179803
MSFT,Microsoft,Technology,416.0299987792969,394.49874928547666,-5.175407916976319,2.5877039584881585
GS,Goldman Sachs,Financials,994.52001953125,942.6800188337054,-5.212564823177567,2.6062824115887837
MMM,3M Company,Industrials,154.02999877929688,146.47524960655562,-4.904725853803412,2.4523629269017033
BB,BlackBerry,Meme/Speculative,8.420000076293945,7.392857074737549,-12.198847888947911,6.099423944473956
GE,General Electric,Industrials,314.489990234375,295.2999747140067,-6.101947952641316,3.050973976320658
BAC,Bank of America,Financials,52.20000076293945,50.087143489292686,-4.047619239015102,2.02380961950755
AAPL,Apple,Technology,308.3299865722656,297.4055476470238,-3.543099731132175,1.7715498655660837
AMC,AMC Entertainment,Meme/Speculative,1.590000033378601,1.352857198034014,-14.914643419263376,7.45732170963169
MS,Morgan Stanley,Financials,201.75999450683597,192.8385641915458,-4.421803409093517,2.2109017045467616
CAT,Caterpillar,Industrials,908.5499877929688,850.3885759626115,-6.4015643180670505,3.2007821590335226
OXY,Occidental Petroleum,Energy,57.459999084472656,53.47428567068918,-6.936501004679851,3.4682505023399264
NVDA,NVIDIA,Technology,214.8600006103516,198.0071454729353,-7.843644740548491,3.9218223702742465
NOC,Northrop Grumman,Defence,556.7999877929688,535.7428327287946,-3.781816725183493,1.8909083625917436
TSM,Taiwan Semiconductor,Semiconductors,412.3200073242188,382.0157078334264,-7.34970385925592,3.674851929627961
CVX,Chevron,Energy,184.7100067138672,175.25529002237613,-5.118681364208538,2.559340682104271
SLB,Schlumberger,Energy,57.97999954223633,55.03428486415318,-5.0805703714042,2.540285185702098
COP,ConocoPhillips,Energy,116.56999969482422,109.67615795457542,-5.9139073160303814,2.956953658015189
XOM,Exxon Mobil,Energy,149.80999755859375,140.7209432265576,-6.0670545892514465,3.0335272946257232
BLK,BlackRock,Financials,1077.4000244140625,1031.73291015625,-4.238640544179335,2.1193202720896673
INTC,Intel,Semiconductors,123.5199966430664,104.11713627406529,-15.70827468937619,7.854137344688093
MARA,Marathon Digital,Meme/Speculative,14.279999732971191,12.222856521606445,-14.40576505484796,7.20288252742398
AMZN,Amazon,Technology,265.2900085449219,252.94430541992188,-4.653663058293991,2.3268315291469954
PG,Procter & Gamble,Consumer Staples,142.9600067138672,137.46715000697546,-3.8422331064138926,1.921116553206951
JPM,JPMorgan Chase,Financials,306.739990234375,294.31713431222096,-4.049962938533688,2.02498146926684
RIOT,Riot Platforms,Meme/Speculative,26.07999992370605,22.96428516932896,-11.946759062468349,5.973379531234176
WMT,Walmart,Consumer Staples,118.56999969482422,111.7798203610771,-5.726726280866746,2.8633631404333713
AMD,Advanced Micro Devices,Semiconductors,503.8900146484375,438.8414306640625,-12.909282203133,6.454641101566501
HON,Honeywell,Industrials,231.72000122070312,221.01745344392006,-4.618741464009124,2.309370732004562
QCOM,Qualcomm,Semiconductors,248.82000732421875,209.0300118582589,-15.991477491644188,7.995738745822092
COST,Costco,Consumer Staples,1002.9299926757812,954.4299839564732,-4.835831919824414,2.4179159599122064
AVGO,Broadcom,Semiconductors,422.010009765625,388.4685799734933,-7.948017586303189,3.9740087931515946
GOOGL,Alphabet,Technology,388.8800048828125,369.51570783342635,-4.979504424564464,2.4897522122822346
GME,GameStop,Meme/Speculative,21.90999984741211,20.32857050214495,-7.217842794526311,3.608921397263155
SPCE,Virgin Galactic,Meme/Speculative,3.509999990463257,2.815999950681414,-19.77208095918676,9.886040479593383
TLRY,Tilray Brands,Meme/Speculative,5.449999809265137,5.012857028416225,-8.02096873665496,4.010484368327482
NIO,NIO Inc,Meme/Speculative,5.260000228881836,4.680000168936593,-11.02661662941673,5.513308314708366
MRNA,Moderna,Pharma,47.02999877929688,40.04971367972239,-14.842197067305246,7.421098533652624
