horizon,feature,importance_mean,importance_pct_mean,stock_count
1d,ADX,15.531086826324463,4.325358935729769,35
1d,volume_ma_20,13.542766341992786,4.9503908081786525,35
1d,hl_spread,12.16221718447549,3.43730542677565,35
1d,ATR_pct,11.90364522593362,4.447019853428579,35
1d,volatility_10,11.057832928214754,4.603389701776163,35
1d,volume_ratio,10.97995616197586,2.2800982980140385,35
1d,volatility_5,10.961327540874482,2.367281086364648,35
1d,oc_spread,10.863137896997587,4.256408912170018,35
1d,STOCH_K,10.2283725636346,3.303894837371047,35
1d,returns,9.659033804280417,3.5780393810119486,35
1d,BB_width,9.322961715289525,2.504248911102664,35
1d,MACD_hist,9.316805403573172,2.7321739922078723,35
1d,STOCH_D,9.238620130292007,3.136038937516252,35
1d,MACD,9.061297231061118,3.7539059411889966,35
1d,rsi_volume,8.964592296736582,3.21519058335622,35
1d,BB_position,8.926882234747922,3.0651781372998226,35
1d,OBV,8.427365415436881,1.8052455684384736,35
1d,MACD_signal,8.265671399661473,1.4686674684001746,35
1d,volatility_20,8.216375149999346,2.9958665408503973,35
1d,OBV_ema,8.11126493045262,2.0566661423693415,35
1d,momentum_20,7.794415967805045,1.9939338616503153,35
1d,position_in_range_5,7.692743730545044,1.5986930170357176,35
1d,RSI_14,7.493837755067008,1.3772677657947907,35
1d,price_to_sma_10,7.440334291117532,3.031571044699963,35
1d,price_to_sma_5,7.0681418206010544,1.2691695295713108,35
1d,month_sin,6.904479966844831,2.572845926607905,35
1d,momentum_5,6.877011128834316,1.2646357467869678,35
1d,momentum_10,6.6970324720655166,1.794007822473532,35
1d,trend_momentum,6.56489816904068,2.332042102653682,35
1d,position_in_range_10,6.267928665024893,1.1046559832241336,35
1d,price_to_sma_20,5.766623473167419,0.6937604601225368,35
1d,price_to_sma_50,5.656910041400365,1.6603766705950265,35
1d,ATR,5.458772333604949,1.2498415598921933,35
1d,SMA_50,5.408468866348267,1.336584697785341,35
1d,BB_upper,4.408497428894043,1.285945564499918,35
1d,EMA_50,3.6503036907741,1.2168939922391506,35
1d,BB_lower,3.382684002603803,1.4955431670638177,35
1d,day_cos,3.1810939925057546,0.6551780520989484,35
1d,month_cos,2.993094539642334,0.4916598195531008,35
1d,day_sin,2.789972857066563,0.6909807702843702,35
1d,SMA_10,2.534724875858852,1.2493726451890599,35
1d,momentum_1,2.5030640057155065,0.5883845136380216,35
1d,EMA_5,2.3286014386585783,1.358825684804162,35
1d,log_returns,2.283856010437012,0.32073445247557125,35
1d,SMA_20,2.2356334141322542,0.5893769815853668,35
1d,SMA_5,2.0318534169878277,1.2760504346072652,35
1d,EMA_20,1.9444990634918213,0.47627519493027676,35
1d,EMA_10,1.566843148640224,0.5140034402886824,35
1d,sentiment_rsi,0.6153965745653425,0.08010945093863,35
1d,sma_cross_5_20,0.5016114098685128,0.039778590259468956,35
1d,BB_middle,0.3162928581237793,0.044980969098765644,35
1d,sentiment_momentum,0.307328006199428,0.04572790349072153,35
1d,MACD_cross,0.13737942831856864,0.018422720510559192,35
1d,ADX_strong_trend,0.0,0.0,35
1d,RSI_overbought,0.0,0.0,35
1d,RSI_oversold,0.0,0.0,35
1d,latest_sentiment,0.0,0.0,35
1d,negative_ratio,0.0,0.0,35
1d,news_volume,0.0,0.0,35
1d,positive_ratio,0.0,0.0,35
1d,sentiment_score,0.0,0.0,35
1d,sma_cross_10_50,0.0,0.0,35
21d,OBV_ema,171.81879997902683,4.393544901869558,35
21d,SMA_50,151.41092712687595,8.907380444260765,35
21d,volume_ma_20,136.12415236490114,9.736569050852848,35
21d,month_sin,107.8593657391412,5.32125460607423,35
21d,OBV,106.81012086314814,3.504937437311564,35
21d,ADX,101.00873809882573,5.668859500807271,35
21d,volatility_20,88.56137663040842,4.791934223923964,35
21d,EMA_50,87.66904614227158,4.484297874077005,35
21d,ATR_pct,86.82425515949726,5.441402140466782,35
21d,ATR,76.98853850109236,2.538142928031154,35
21d,MACD_signal,76.57982273703175,4.637385945271417,35
21d,month_cos,70.63806283899716,2.0200222231383416,35
21d,SMA_20,65.46841996056693,5.345140678001653,35
21d,BB_lower,61.22240443740572,2.067482894811223,35
21d,MACD,49.30712352139609,3.434562936905798,35
21d,EMA_5,48.09156244013991,3.5514930499397708,35
21d,price_to_sma_50,40.89240219167301,2.125676988640989,35
21d,MACD_hist,40.301763595427786,2.1635815871861066,35
21d,volatility_10,38.395294475661856,2.023137698588544,35
21d,SMA_5,34.31227383060115,1.4613910349374555,35
21d,momentum_20,33.74627308164324,2.3973154529022453,35
21d,BB_upper,33.0135411758508,2.279486182794596,35
21d,BB_width,29.05791974408286,1.5179767379899631,35
21d,SMA_10,27.342609373320425,1.4059212157456338,35
21d,EMA_20,25.86221582038062,1.0527564207456392,35
21d,EMA_10,23.172478141103472,2.149657112878066,35
21d,RSI_14,21.88320830842214,0.7395429237648159,35
21d,price_to_sma_20,20.498927112988063,1.3353536842177942,35
21d,momentum_10,11.077798556802529,0.29017442568167234,35
21d,volatility_5,9.589455931527274,0.3146593745743492,35
21d,STOCH_D,8.161189780277866,0.38284371210480295,35
21d,rsi_volume,7.817486865924938,0.2151841390165095,35
21d,STOCH_K,6.983458550487246,0.33009849125547286,35
21d,price_to_sma_10,6.489692685008049,0.5664599664909378,35
21d,BB_middle,5.590564133439745,0.33505690637872615,35
21d,momentum_5,5.074684740815844,0.08451795073424492,35
21d,volume_ratio,4.5951900767428535,0.08352329942544369,35
21d,position_in_range_10,4.037081687791007,0.16595734030261852,35
21d,sentiment_rsi,3.538423727239881,0.09835845419174889,35
