Ticker,Stock,Sector,Horizon,Feature_Set,Accuracy
PFE,Pfizer,Pharma,5,all,49.1219512195122
PFE,Pfizer,Pharma,21,baseline,49.51219512195122
PFE,Pfizer,Pharma,21,intraday,49.951219512195124
PFE,Pfizer,Pharma,21,order_flow,49.51219512195122
PFE,Pfizer,Pharma,21,microstructure,49.65853658536585
PFE,Pfizer,Pharma,21,mean_reversion,49.75609756097561
PFE,Pfizer,Pharma,21,time,48.97560975609756
PFE,Pfizer,Pharma,21,all,48.73170731707317
STAN.L,Standard Chartered,Banking,1,baseline,50.79903147699759
STAN.L,Standard Chartered,Banking,1,intraday,51.186440677966104
STAN.L,Standard Chartered,Banking,1,order_flow,51.127450980392155
STAN.L,Standard Chartered,Banking,1,microstructure,49.39467312348668
STAN.L,Standard Chartered,Banking,1,mean_reversion,50.799031476997584
STAN.L,Standard Chartered,Banking,1,time,50.31476997578692
STAN.L,Standard Chartered,Banking,1,all,50.931372549019606
STAN.L,Standard Chartered,Banking,5,baseline,46.82808716707022
STAN.L,Standard Chartered,Banking,5,intraday,46.634382566585955
STAN.L,Standard Chartered,Banking,5,order_flow,47.745098039215684
STAN.L,Standard Chartered,Banking,5,microstructure,46.295399515738495
STAN.L,Standard Chartered,Banking,5,mean_reversion,46.92493946731234
STAN.L,Standard Chartered,Banking,5,time,46.39225181598062
STAN.L,Standard Chartered,Banking,5,all,47.69607843137255
STAN.L,Standard Chartered,Banking,21,baseline,45.42372881355933
STAN.L,Standard Chartered,Banking,21,intraday,44.40677966101695
STAN.L,Standard Chartered,Banking,21,order_flow,45.34313725490196
STAN.L,Standard Chartered,Banking,21,microstructure,45.52058111380145
STAN.L,Standard Chartered,Banking,21,mean_reversion,45.181598062953995
STAN.L,Standard Chartered,Banking,21,time,45.47215496368039
STAN.L,Standard Chartered,Banking,21,all,44.36274509803922
